"covariate","coef_h0.5","se_h0.5","pval_h0.5","n_l_h0.5","n_r_h0.5","coef_h1","se_h1","pval_h1","n_l_h1","n_r_h1","coef_h1.5","se_h1.5","pval_h1.5","n_l_h1.5","n_r_h1.5","coef_h1.76_OPT","se_h1.76_OPT","pval_h1.76_OPT","n_l_h1.76_OPT","n_r_h1.76_OPT"
"n_refinery_25km_edge",0.2467,0.2803,0.3543,3,8,0.1578,0.2407,0.3474,9,17,0.1509,0.2091,0.4453,19,26,0.294,0.2131,0.9283,37,26
"n_refinery_50km_edge",0.7928,0.2954,0.0016,3,8,0.529,0.2496,0.0052,9,17,0.5684,0.2959,0.2983,19,26,0.6723,0.2404,0.0735,37,26
"n_refinery_100km_edge",3.0275,1035.2792,0.2709,3,8,0.7118,2.8876,0.5382,9,17,0.5425,0.8001,0.352,19,26,0.4656,0.6641,0.251,37,26
"dist_storage_edge",-10.9683,2747.0816,0.9723,3,8,12.3406,49.3914,0.9273,9,17,17.2867,15.756,0.2814,19,26,3.7792,18.3633,0.0386,37,26
"nearest_storage_edge",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_storage_25km_edge",2.4587,1.2533,0.0368,3,8,3.0442,4.3296,0.444,9,17,2.6769,2.1081,0.1068,19,26,1.8449,1.387,0.0027,37,26
"n_storage_50km_edge",7.2122,1035.2799,0.269,3,8,6.0022,6.359,0.8805,9,17,4.4641,2.7363,0.0101,19,26,3.022,1.822,0,37,26
"n_storage_100km_edge",17.4727,2369.0775,0.3292,3,8,10.5426,13.5967,0.8191,9,17,7.7615,4.9203,0.0056,19,26,5.2108,3.4519,1e-04,37,26
"dist_any_edge",-10.9683,2747.0816,0.9723,3,8,12.3406,49.3914,0.9273,9,17,17.2867,15.756,0.2814,19,26,3.528,18.3597,0.0363,37,26
"n_any_25km_edge",2.7044,1.1962,0.0201,3,8,3.4608,4.6331,0.5899,9,17,2.9783,2.0707,0.0695,19,26,2.3414,1.4071,0.0031,37,26
"n_any_50km_edge",8.258,1035.2799,0.2685,3,8,7.2171,7.0609,0.9024,9,17,5.373,2.789,0.0037,19,26,3.9383,1.8881,0,37,26
"n_any_100km_edge",21.3007,3379.6992,0.307,3,8,12.7483,17.3784,0.7324,9,17,9.1958,5.8127,0.0052,19,26,6.2753,4.2119,2e-04,37,26
"n_hosted",4.4076,650.8984,0.97,3,8,-0.2868,4.0151,0.2065,9,17,-0.2327,1.0375,0.5518,19,26,0.1411,0.8723,0.2849,37,26
"hosts_any",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"km_ferrocarril_total",162.1209,26905.6231,0.4808,3,8,13.0959,143.9385,0.1421,9,17,17.8337,35.9417,0.6127,19,26,20.1197,31.1552,0.7089,37,26
"km_ferrocarril_operacion",108.0378,42551.3464,0.2709,3,8,19.8726,116.7832,0.2298,9,17,25.0613,34.0744,0.5073,19,26,27.1236,31.845,0.5782,37,26
"km_ferrocarril_sin_uso",54.0831,25564.9376,0.2755,3,8,-6.7767,75.9408,0.3494,9,17,-7.2277,17.3994,0.8005,19,26,-7.0039,16.201,0.7077,37,26
"km_ferrocarril_carga",103.6839,42551.3444,0.271,3,8,18.9796,116.4612,0.245,9,17,22.8847,33.2855,0.5165,19,26,24.1403,31.0768,0.5735,37,26
"km_ferrocarril_pasajeros",4.3539,5.7113,0.2701,3,8,1.8181,3.8916,0.2718,9,17,2.1495,3.2409,0.5174,19,26,2.1678,3.126,0.4717,37,26
"km_ferrocarril_carga_pasajeros",0,0,NA,3,8,-0.9251,0.6226,0.3434,9,17,0.0271,1.0257,0.2827,19,26,0.8155,1.4214,0.1515,37,26
"km_ferrocarril_inactivo",54.0831,25564.9376,0.2755,3,8,-6.7767,75.9408,0.3494,9,17,-7.2277,17.3994,0.8005,19,26,-7.0039,16.201,0.7077,37,26
"km_ferromex",41.8495,17416.0208,0.2712,3,8,1.1826,54.9766,0.1687,9,17,3.3345,22.2893,0.6044,19,26,0.5117,21.1792,0.7458,37,26
"km_kcs_mexico",42.5289,25135.325,0.2712,3,8,0.1193,66.4869,0.4454,9,17,5.4621,16.6969,0.7323,19,26,10.4201,16.1181,0.6252,37,26
"km_ferrosur",2.9644,2.2984,0.1901,3,8,3.5753,7.6265,0.6497,9,17,3.2519,7.4073,0.9523,19,26,3.6047,2.4383,0.2652,37,26
"km_tren_maya",0,0,NA,3,8,-0.875,0.7034,0.304,9,17,-0.0604,0.9579,0.2884,19,26,0.234,1.0319,0.2915,37,26
"km_istmo_tehuantepec",0,0,NA,3,8,0,0,NA,9,17,0,0,NA,19,26,0.4792,0.931,0.3324,37,26
"km_coahuila_durango",0,0,NA,3,8,0,0,NA,9,17,0,0,NA,19,26,0,0,NA,37,26
"km_ferrorvalle",16.8314,13.2254,0.1347,3,8,13.458,9.9046,0.1805,9,17,11.3565,8.1152,0.0601,19,26,10.5809,7.7854,0.0595,37,26
"km_tijuana_tecate",0,0,NA,3,8,0,0,NA,9,17,0,0,NA,19,26,0,0,NA,37,26
"km_jalisco",0,0,NA,3,8,0,0,NA,9,17,-0.4471,0.3486,0.3095,19,26,-0.5478,0.2239,0.315,37,26
"km_mexico_toluca",0,0,NA,3,8,-0.0204,0.4417,0.303,9,17,0.3608,0.2413,0.382,19,26,0.4334,0.1581,0.4491,37,26
"km_ferrocarril_suburbano",4.3539,5.7113,0.2701,3,8,2.7303,3.8026,0.2931,9,17,2.2958,3.0699,0.3298,19,26,2.0421,2.9413,0.2686,37,26
"km_puebla",0,0,NA,3,8,0,0,NA,9,17,0,0,NA,19,26,0,0,NA,37,26
"km_sin_concesion",53.5928,25564.9376,0.2755,3,8,-7.0742,75.9454,0.3509,9,17,-7.7204,17.4151,0.793,19,26,-7.6386,16.2178,0.7059,37,26
"has_ferrocarril",5.0092,650.8982,0.9692,3,8,0.7905,5.2607,0.2563,9,17,0.266,1.0645,0.0952,19,26,0.2432,0.8204,0.4203,37,26
"has_ferrocarril_operacion",2.9791,1035.2792,0.2709,3,8,0.9244,2.9113,0.4019,9,17,0.7192,0.8105,0.0835,19,26,0.7841,0.6653,0.2451,37,26
"has_ferrocarril_carga",2.9791,1035.2792,0.2709,3,8,0.9499,2.9114,0.406,9,17,0.721,0.8109,0.0774,19,26,0.7575,0.6662,0.2061,37,26
"has_ferrocarril_pasajeros",0.3213,0.4214,0.2701,3,8,0.1411,0.2856,0.3908,9,17,0.2723,0.242,0.7854,19,26,0.2424,0.2455,0.33,37,26
"has_ferrocarril_carga_pasajeros",0,0,NA,3,8,-0.0261,0.0176,0.3434,9,17,8e-04,0.0289,0.2827,19,26,0.0293,0.049,0.1568,37,26
