municipio,CVEGEO,tdpa_mean,no_tdpa_mean,punto_generador_count,no_punto_generador_count,m_mean,no_m_mean,a_mean,no_a_mean,b_mean,no_b_mean,c2_mean,no_c2_mean,c3_mean,no_c3_mean,t3s2_mean,no_t3s2_mean,t3s3_mean,no_t3s3_mean,t3s2r4_mean,no_t3s2r4_mean,otros_mean,no_otros_mean,aa_mean,no_aa_mean,bb_mean,no_bb_mean,cc_mean,no_cc_mean
Manzanillo,06007,8348.149012567324,0,23.0,0,9.213285457809695,0,76.06983842010773,0,1.5179533213644525,0,6.026391382405745,0,1.5159784560143625,0,2.712028725314183,0,1.2118491921005385,0,1.336624775583483,0,0.39605026929982046,0,85.2831238779174,0,1.5179533213644525,0,13.198922800718133,0
Minatitlán,06008,10257.685185185184,0,6.0,0,3.437037037037037,0,75.00925925925925,0,3.1351851851851853,0,7.225925925925925,0,1.7148148148148148,0,4.938888888888889,0,1.5611111111111111,0,2.490740740740741,0,0.48703703703703705,0,78.4462962962963,0,3.1351851851851853,0,18.418518518518518,0
Tecomán,06009,5315.959390862944,0,17.0,0,8.95710659898477,0,72.88654822335025,0,1.6807106598984773,0,7.635786802030457,0,2.0022842639593907,0,3.2368020304568526,0,2.0883248730964468,0,0.9606598984771574,0,0.5517766497461929,0,81.84365482233503,0,1.6807106598984773,0,16.475634517766498,0
Villa de Álvarez,06010,9054.477272727272,0,3.0,0,7.111363636363635,0,80.36363636363636,0,1.1113636363636363,0,5.363636363636363,0,3.247727272727273,0,1.6181818181818182,0,0.634090909090909,0,0.19318181818181818,0,0.3568181818181818,0,87.47500000000001,0,1.1113636363636363,0,11.413636363636364,0
Acacoyagua,07001,3865.75,0,1.0,0,9.64,0,66.6725,0,3.175,0,6.49,0,2.0300000000000002,0,6.7325,0,1.4949999999999999,0,3.2350000000000003,0,0.53,0,76.3125,0,3.175,0,20.5125,0
Acala,07002,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
Acapetahua,07003,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
Altamirano,07004,1931.0555555555557,0,1.0,0,6.266666666666667,0,84.9,0,0.6166666666666667,0,4.8277777777777775,0,0.8111111111111111,0,1.488888888888889,0,0.6888888888888889,0,0.21666666666666667,0,0.18333333333333332,0,91.16666666666667,0,0.6166666666666667,0,8.216666666666667,0
Amatán,07005,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
Amatenango de la Frontera,07006,1842.15,0,1.0,0,5.285,0,83.815,0,1.29,0,5.3950000000000005,0,1.325,0,1.815,0,0.67,0,0.145,0,0.26,0,89.1,0,1.29,0,9.61,0
Amatenango del Valle,07007,3803.3333333333335,0,2.0,0,7.153333333333334,0,83.72,0,0.88,0,5.086666666666667,0,0.6733333333333333,0,1.62,0,0.5266666666666667,0,0.11333333333333333,0,0.22666666666666668,0,90.87333333333332,0,0.88,0,8.246666666666666,0
Angel Albino Corzo,07008,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
Arriaga,07009,3841.3809523809523,0,9.0,0,6.614965986394558,0,71.30952380952381,0,3.0595238095238093,0,7.016326530612245,0,1.8948979591836737,0,5.000680272108844,0,1.526190476190476,0,3.126530612244898,0,0.451360544217687,0,77.92448979591836,0,3.0595238095238093,0,19.01598639455782,0
Bejucal de Ocampo,07010,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
Bella Vista,07011,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
