"CVEGEO","NOMGEO","homicidios_total","robos_total","n_inseguro_popw"
"12002","Ahuacuotzingo",0,0,NA
"12035","Iguala de la Independencia",46.9999999999999,68.9999999999996,81693.11495
"12016","Coahuayutla de José María Izazaga",0,1,NA
"12017","Cocula",0,0,NA
"12020","Copanatoyac",3,0,7280.617647
"12057","Técpan de Galeana",6.99999999999999,10,28994.42669
"12021","Coyuca de Benítez",24,32,33466.78325
"12022","Coyuca de Catalán",3,5.99999999999998,11852.96185
"12060","Tetipac",0,1,NA
"12063","Tlacoapa",1,0,NA
"12058","Teloloapan",6.99999999999999,6.99999999999999,24278.6053
"12051","Quechultenango",3,1,2539.056073
"12050","Pungarabato",1,2,13118.46874
"12081","Iliatenco",0,0,NA
"12080","Juchitán",7.99999999999997,2,NA
"12005","Alpoyeca",0,0,NA
"12014","Benito Juárez",1,1,NA
"12015","Buenavista de Cuéllar",2,25,NA
"12049","Pilcaya",2,5.99999999999998,NA
"12079","José Joaquín de Herrera",1,0,6107.250153
"12034","Huitzuco de los Figueroa",6.99999999999999,24,NA
"12085","San Nicolás",2,0,NA
"12084","Santa Cruz del Rincón",0,0,NA
"13004","Agua Blanca de Iturbide",0,2,5328
"13010","Atitalaquia",3.99999999999998,5,12926.70436
"13081","Zacualtipán de Ángeles",1,1,18120.71624
"13034","Lolotla",0,0,NA
"13080","Yahualica",1,0,3519.9388
"13079","Xochicoatlán",0,0,NA
"13041","Mixquiahuala de Juárez",5.99999999999998,2,21617.41864
"13032","Jaltocán",0,0,2488.159437
"13019","Chilcuautla",1,1,NA
"13082","Zapotlán de Juárez",0,5.99999999999998,9318.063291
"13050","Progreso de Obregón",2,1,NA
"13083","Zempoala",5,25,21040.61715
"13018","Chapulhuacán",0,0,NA
"13035","Metepec",1,1,NA
"13036","San Agustín Metzquititlán",1,0,NA
"13037","Metztitlán",1,0,7107.355509
"13020","Eloxochitlán",0,0,NA
"13022","Epazoyucan",3.99999999999998,3.99999999999998,5483.696662
"13023","Francisco I. Madero",2,0,15649.92619
"13052","San Agustín Tlaxiaca",1,1,19395.02434
"13024","Huasca de Ocampo",0,1,NA
"13009","El Arenal",1,2,NA
"13038","Mineral del Chico",0,1,NA
"13071","Tlahuiltepa",0,0,NA
"13064","Tepetitlán",0,1,NA
"13053","San Bartolo Tutotepec",0,0,NA
"13008","Apan",3.99999999999998,3.99999999999998,NA
"13007","Almoloya",1,3.99999999999998,NA
"13068","Tianguistengo",2,0,NA
"13069","Tizayuca",18,85.9999999999999,80530.4412
"13076","Tula de Allende",43.9999999999998,16,72504.17456
"13078","Xochiatipan",1,1,5426.362751
"13074","Tlaxcoapan",3,8.99999999999998,15977.41667
"13051","Mineral de la Reforma",13,21,100831.7639
"13030","Ixmiquilpan",1,12,47836.92303
"13031","Jacala de Ledezma",1,1,NA
"13029","Huichapan",2,5,17622.45896
"13070","Tlahuelilpan",1,6.99999999999999,NA
"13025","Huautla",0,0,6202.867962
"13054","San Salvador",1,3.99999999999998,8819.779113
"13055","Santiago de Anaya",1,0,NA
"13006","Alfajayucan",0,5.99999999999998,5109.407461
"13048","Pachuca de Soto",19,83.9999999999997,142039.898
"13026","Huazalingo",0,0,NA
"13027","Huehuetla",1,1,9990.975534
"13028","Huejutla de Reyes",6.99999999999999,5,54105.6338
"13043","Nicolás Flores",0,0,NA
