CVEGEO,longitud_sum,carriles_mean,share_cuota
21001,23.5,2.0,0.0
21004,95.3,4.0,1.0
21015,103.61,2.6153846153846154,0.6153846153846154
21019,34.62,5.0,0.0
21046,105.56,2.5454545454545454,0.18181818181818182
21047,2.8,2.0,0.0
21055,46.1,2.0,0.0
21063,172.88,2.5,0.5
21067,29.6,2.0,0.0
21074,18.7,4.0,0.0
21085,37.910000000000004,2.6666666666666665,0.0
21094,30.35,2.0,0.0
21097,28.0,2.0,1.0
21098,31.6,5.0,0.0
21103,28.900000000000002,2.0,0.0
21104,51.0,2.0,1.0
21108,32.98,2.5,0.25
21111,25.9,2.0,0.0
21114,280.745,4.277777777777778,0.2222222222222222
21117,15.04,2.0,0.0
21120,20.0,2.0,0.0
21124,9.7,2.0,1.0
21125,5.3,2.0,0.0
21132,78.32000000000001,3.6666666666666665,0.6111111111111112
21142,47.85,2.0,0.0
21154,52.15,3.0,0.0
21155,21.99,2.0,0.0
21156,349.195,2.4210526315789473,0.21052631578947367
21157,84.19999999999999,2.0,0.0
21161,13.2,2.0,0.0
21164,6.5,4.0,0.0
21166,15.1,4.0,0.0
21170,27.659999999999997,2.0,1.0
21174,192.07,2.0,0.2
21182,9.5,4.0,1.0
21195,190.0,2.0,0.16666666666666666
21208,58.25,2.0,0.0
21211,43.0,2.0,0.0
22002,76.3,2.0,0.0
22003,17.259999999999998,2.0,0.0
22007,28.1,4.0,0.0
22009,57.31,2.0,0.0
22010,34.8,2.0,0.0
22012,23.0,2.0,0.0
22014,427.3,4.363636363636363,0.36363636363636365
22016,127.93,2.5,0.0
23002,107.48,2.0,0.14285714285714285
23005,247.64000000000001,3.375,0.0625
23006,109.34,2.0,0.0
23008,130.64,3.6,0.6
23009,15.61,4.0,0.0
23010,22.24,3.0,0.0
23011,44.6,3.6,0.8
24007,79.2,2.0,0.0
24013,386.96,2.1176470588235294,0.0
24015,69.9,2.0,0.0
24016,4.57,2.0,0.0
24020,79.83,3.6666666666666665,0.16666666666666666
24025,39.900000000000006,2.0,0.0
24026,55.19,2.0,0.0
24027,53.155,2.0,0.0
24028,646.844,3.590909090909091,0.18181818181818182
24030,17.67,2.0,0.0
24033,192.25,2.0,0.0
24035,319.694,2.3,0.2
24037,60.22,2.0,0.0
24040,23.919999999999998,2.0,0.3333333333333333
24046,28.33,2.0,0.0
24052,57.85,3.0,0.25
24054,38.649,2.0,0.0
24057,105.76,2.0,0.0
24058,61.0,2.0,0.0
25001,1.87,4.0,1.0
25002,35.3,2.0,0.0
25003,66.0,2.0,0.0
25004,153.4,2.0,0.5
25006,195.65,3.6666666666666665,0.16666666666666666
25007,20.369999999999997,4.0,0.5
