"CVEGEO","NOMGEO","VIVPAR_HAB","no_VIVPAR_HAB","POBTOT","no_POBTOT","pct_VPH_SINTIC","no_pct_VPH_SINTIC","pct_VPH_C_ELEC","no_pct_VPH_C_ELEC","pct_VPH_AGUADV","no_pct_VPH_AGUADV","pct_VPH_PISODT","no_pct_VPH_PISODT","pct_VPH_PISOTI","no_pct_VPH_PISOTI","pct_VPH_1CUART","no_pct_VPH_1CUART"
"07024","Chanal",2163,0,13678,0,0.343504392048081,0,0.979657882570504,0,0.659731853906611,0,0.736014794267221,0,0.274156264447527,0,0.0175681923254739,0
"07121","Rincón Chamula San Pedro",1845,0,8718,0,0.205962059620596,0,0.988617886178862,0,0.977777777777778,0,0.738211382113821,0,0.262872628726287,0,0.165311653116531,0
"07042","Ixhuatán",2587,0,11377,0,0.130653266331658,0,0.998453807499034,0,1.00231928875145,0,0.914572864321608,0,0.0923850019327406,0,0.0637804406648628,0
"07025","Chapultenango",1677,0,7472,0,0.217054263565891,0,0.984496124031008,0,0.946332737030411,0,0.813357185450209,0,0.212880143112701,0,0.0471079308288611,0
"07018","Coapilla",2444,0,9900,0,0.0945171849427169,0,0.992225859247136,0,0.986088379705401,0,0.886252045826514,0,0.113747954173486,0,0.0752864157119476,0
"07052","Las Margaritas",26954,0,141027,0,0.251057356978556,0,1.02007123247013,0,0.827298360169177,0,0.900497143281146,0,0.149105884098835,0,0.0304222007865252,0
"07026","Chenalhó",8985,0,47371,0,0.426043405676127,0,1.02270450751252,0,0.854312743461324,0,0.697161936560935,0,0.359599332220367,0,0.0779076238174736,0
"07083","Socoltenango",4962,0,19092,0,0.0701330108827086,0,1.01168883514712,0,0.953244659411528,0,0.868802902055623,0,0.150141072148327,0,0.0767835550181378,0
"07084","Solosuchiapa",2046,0,8561,0,0.174486803519062,0,0.986803519061584,0,0.989736070381232,0,0.882209188660802,0,0.118768328445748,0,0.0713587487781036,0
"07089","Tapachula",95731,0,353706,0,0.026898287910917,0,0.985417471874314,0,0.918062069757968,0,0.9007322601874,0,0.0930210694550355,0,0.158788689139359,0
